subscriber_id,email,signup_date,cohort_month,plan_tier,acquisition_channel,is_gift,status,churn_date,active_months,monthly_price,country
SUB-1001,justin17@example.com,2023-01-08,2023-01,Starter,Organic,False,churned,2023-04-22,3,19.99,KE
SUB-1002,stantonstephanie@example.org,2023-01-23,2023-01,Classic,Google,False,churned,2023-06-18,4,34.99,KE
SUB-1003,gcameron@example.com,2023-01-04,2023-01,Starter,Organic,True,churned,2024-03-12,14,19.99,GH
SUB-1004,swilliams@example.net,2023-01-15,2023-01,Premium,Google,False,churned,2024-07-26,18,54.99,GH
SUB-1005,jaimehouston@example.net,2023-01-07,2023-01,Classic,Organic,False,churned,2024-03-11,14,34.99,ZA
SUB-1006,alexis12@example.org,2023-01-20,2023-01,Classic,Google,False,churned,2023-05-14,3,34.99,ZA
SUB-1007,qmorrison@example.net,2023-01-10,2023-01,Premium,Meta,False,churned,2024-05-21,16,54.99,KE
SUB-1008,nicholas45@example.com,2023-01-08,2023-01,Premium,Organic,True,active,,24,54.99,KE
SUB-1009,bgutierrez@example.com,2023-01-21,2023-01,Starter,Meta,True,churned,2023-01-23,0,19.99,KE
SUB-1010,johnsonapril@example.net,2023-01-05,2023-01,Classic,Meta,False,churned,2023-11-26,10,34.99,KE
SUB-1011,rlong@example.net,2023-01-08,2023-01,Classic,Organic,False,churned,2023-12-11,11,34.99,KE
SUB-1012,ewingmichael@example.org,2023-01-13,2023-01,Classic,Meta,False,churned,2023-02-26,1,34.99,NG
SUB-1013,jmorgan@example.org,2023-01-26,2023-01,Classic,Referral,False,churned,2023-09-14,7,34.99,NG
SUB-1014,zpierce@example.org,2023-01-28,2023-01,Starter,Google,False,churned,2024-10-13,20,19.99,KE
SUB-1015,mkrause@example.org,2023-01-05,2023-01,Classic,Google,False,churned,2023-11-01,9,34.99,KE
SUB-1016,monicawalters@example.com,2023-01-04,2023-01,Premium,Meta,False,churned,2024-01-15,12,54.99,KE
SUB-1017,marknorris@example.net,2023-01-14,2023-01,Classic,Google,False,churned,2023-05-26,4,34.99,KE
SUB-1018,ashleydiaz@example.net,2023-01-26,2023-01,Classic,Referral,False,churned,2023-02-07,0,34.99,KE
SUB-1019,ericawalker@example.org,2023-01-14,2023-01,Premium,Referral,False,churned,2024-06-30,17,54.99,NG
SUB-1020,burnsheather@example.net,2023-01-08,2023-01,Classic,Organic,False,churned,2023-11-17,10,34.99,KE
SUB-1021,,2023-01-24,2023-01,Starter,Google,False,churned,2023-07-08,5,19.99,NG
SUB-1022,brendawatts@example.org,2023-01-22,2023-01,Classic,Organic,False,active,,24,34.99,ZA
SUB-1023,egriffin@example.org,2023-01-26,2023-01,Classic,Organic,False,churned,2023-12-12,10,34.99,NG
SUB-1024,bryanemily@example.org,2023-01-23,2023-01,Premium,Google,False,churned,2023-05-18,3,54.99,ZA
SUB-1025,oneal@example.net,2023-01-23,2023-01,Starter,Organic,False,churned,2023-01-31,0,19.99,KE
SUB-1026,lyonspatrick@example.net,2023-01-18,2023-01,Classic,Google,False,active,,24,34.99,KE
SUB-1027,jason85@example.net,2023-01-14,2023-01,Classic,Google,True,churned,2023-06-08,4,34.99,UG
SUB-1028,xlarson@example.org,2023-01-27,2023-01,Starter,Google,False,churned,2023-08-07,6,19.99,ZA
SUB-1029,kimberly70@example.net,2023-01-20,2023-01,Premium,Referral,False,churned,2024-12-21,23,54.99,KE
SUB-1030,pharvey@example.org,2023-01-22,2023-01,Starter,Meta,True,active,,24,19.99,KE
SUB-1031,fwatson@example.com,2023-01-03,2023-01,Classic,Organic,False,active,,24,34.99,KE
SUB-1032,jennifersanchez@example.net,2023-01-07,2023-01,Premium,Meta,False,churned,2024-03-17,14,54.99,KE
SUB-1033,trussell@example.net,2023-01-17,2023-01,Classic,Google,False,active,,24,34.99,KE
SUB-1034,mscott@example.org,2023-01-25,2023-01,Premium,Google,False,active,,24,54.99,UG
SUB-1035,wvelazquez@example.org,2023-01-20,2023-01,Classic,Google,False,churned,2023-12-30,11,34.99,NG
SUB-1036,mrussell@example.org,2023-01-26,2023-01,Classic,Referral,False,churned,2023-10-22,8,34.99,NG
SUB-1037,vanessaray@example.com,2023-01-23,2023-01,Starter,Meta,False,churned,2023-10-01,8,19.99,NG
SUB-1038,lmaxwell@example.net,2023-01-22,2023-01,Premium,Referral,False,churned,2024-09-25,20,54.99,UG
SUB-1039,lynchchristine@example.com,2023-01-01,2023-01,Classic,Google,False,active,,24,34.99,ZA
SUB-1040,tammie89@example.org,2023-01-27,2023-01,Classic,Meta,False,churned,2024-03-22,13,34.99,UG
SUB-1041,jenniferbaker@example.com,2023-01-18,2023-01,Classic,Meta,False,active,,24,34.99,KE
SUB-1042,fieldsrobert@example.com,2023-01-05,2023-01,Starter,Organic,True,churned,2023-05-16,4,19.99,KE
SUB-1043,amanda81@example.org,2023-01-25,2023-01,Classic,Organic,False,churned,2024-03-07,13,34.99,KE
SUB-1044,morrisjames@example.org,2023-01-19,2023-01,Starter,Google,False,churned,2024-05-01,15,19.99,UG
SUB-1045,murrayrebecca@example.net,2023-01-10,2023-01,Classic,Google,False,churned,2024-03-01,13,34.99,GH
SUB-1046,ccohen@example.net,2023-01-26,2023-01,Premium,Meta,False,active,,24,54.99,ZA
SUB-1047,wcummings@example.net,2023-01-04,2023-01,Classic,Meta,False,active,,24,34.99,NG
SUB-1048,robert57@example.com,2023-01-04,2023-01,Classic,Google,False,churned,2024-07-16,18,34.99,KE
SUB-1049,iallen@example.net,2023-01-12,2023-01,Classic,Referral,False,churned,2023-12-08,10,34.99,ZA
SUB-1050,fhogan@example.com,2023-01-18,2023-01,Starter,Organic,False,churned,2023-07-16,5,19.99,NG
SUB-1051,williamsvanessa@example.net,2023-01-28,2023-01,Premium,Meta,True,churned,2023-02-23,0,54.99,KE
SUB-1052,christinehernandez@example.net,2023-01-14,2023-01,Starter,Meta,False,churned,2023-09-09,7,19.99,KE
SUB-1053,cheryl99@example.org,2023-01-16,2023-01,Classic,Meta,False,active,,24,34.99,KE
SUB-1054,samuel73@example.net,2023-01-11,2023-01,Classic,Meta,False,active,,24,34.99,KE
SUB-1055,christine39@example.com,2023-01-25,2023-01,Premium,Meta,False,churned,2023-12-04,10,54.99,KE
SUB-1056,ericlee@example.org,2023-01-19,2023-01,Starter,,False,churned,2023-02-12,0,19.99,ZA
SUB-1057,danielscott@example.net,2023-01-11,2023-01,Starter,Google,False,churned,2023-08-14,7,19.99,NG
SUB-1058,coxelizabeth@example.net,2023-01-25,2023-01,Classic,Meta,False,churned,2023-10-02,8,34.99,KE
SUB-1059,vmelendez@example.com,2023-01-01,2023-01,Starter,Meta,False,churned,2023-12-12,11,19.99,ZA
SUB-1060,jsnyder@example.net,2023-01-01,2023-01,Classic,Meta,False,active,,24,34.99,KE
SUB-1061,hwhite@example.com,2023-01-25,2023-01,Premium,Meta,False,churned,2024-08-06,18,54.99,GH
SUB-1062,irodriguez@example.net,2023-01-17,2023-01,Premium,Google,False,churned,2023-05-13,3,54.99,NG
SUB-1063,christine57@example.org,2023-01-15,2023-01,Classic,Referral,True,active,,24,34.99,NG
SUB-1064,joan40@example.com,2023-01-21,2023-01,Starter,Meta,False,churned,2024-12-19,22,19.99,NG
SUB-1065,villarrealmatthew@example.net,2023-01-22,2023-01,Classic,Google,False,active,,24,34.99,KE
SUB-1066,james39@example.com,2023-01-27,2023-01,Classic,Referral,False,churned,2023-04-12,2,34.99,KE
SUB-1067,wwalker@example.net,2023-01-10,2023-01,Premium,Organic,True,churned,2024-10-07,20,54.99,ZA
SUB-1068,david72@example.net,2023-01-03,2023-01,Classic,Google,True,churned,2023-12-30,11,34.99,KE
SUB-1069,wvega@example.net,2023-01-05,2023-01,Classic,Meta,False,churned,2023-01-17,0,34.99,NG
SUB-1070,vporter@example.net,2023-01-03,2023-01,Starter,Referral,False,churned,2023-05-01,3,19.99,UG
SUB-1071,peterburns@example.com,2023-01-26,2023-01,Starter,Meta,True,churned,2024-07-03,17,19.99,KE
SUB-1072,wendy34@example.net,2023-01-27,2023-01,Premium,Google,False,active,,24,54.99,NG
SUB-1073,john13@example.net,2023-01-14,2023-01,Classic,Google,False,churned,2023-10-06,8,34.99,ZA
SUB-1074,kelli64@example.org,2023-01-05,2023-01,Classic,Referral,False,churned,2023-08-10,7,34.99,KE
SUB-1075,phillip70@example.net,2023-01-17,2023-01,Premium,Google,False,churned,2023-04-23,3,54.99,NG
SUB-1076,veronicamurray@example.org,2023-01-15,2023-01,Starter,Meta,False,churned,2023-06-21,5,19.99,KE
SUB-1077,hdavila@example.net,2023-01-11,2023-01,Classic,Organic,False,active,,24,34.99,NG
SUB-1078,treed@example.com,2023-01-03,2023-01,Starter,Meta,False,churned,2023-10-07,9,19.99,KE
SUB-1079,davidjensen@example.net,2023-01-17,2023-01,Premium,Meta,False,churned,2024-06-19,17,54.99,KE
SUB-1080,mshepherd@example.com,2023-01-20,2023-01,Starter,Google,False,churned,2023-09-22,8,19.99,NG
SUB-1081,zgraves@example.org,2023-01-28,2023-01,Classic,,False,active,,24,34.99,UG
SUB-1082,martinezjon@example.com,2023-01-07,2023-01,Classic,Referral,False,churned,2023-01-17,0,34.99,NG
SUB-1083,mathewsmelissa@example.org,2023-01-28,2023-01,Classic,Google,True,churned,2023-05-30,4,34.99,NG
SUB-1084,wolfetina@example.org,2023-01-25,2023-01,Starter,Google,False,churned,2024-01-27,12,19.99,NG
SUB-1085,lance51@example.net,2023-01-17,2023-01,Classic,Google,False,churned,2023-12-28,11,34.99,NG
SUB-1086,howelllisa@example.net,2023-01-23,2023-01,Premium,Organic,False,active,,24,54.99,ZA
SUB-1087,wallacerobert@example.net,2023-01-22,2023-01,Classic,Google,False,active,,24,34.99,NG
SUB-1088,,2023-01-12,2023-01,Premium,Google,False,active,,24,54.99,UG
SUB-1089,gmatthews@example.org,2023-01-16,2023-01,Classic,Referral,False,churned,2024-12-05,22,34.99,KE
SUB-1090,jeffrey66@example.net,2023-01-17,2023-01,Classic,Google,False,active,,24,34.99,ZA
SUB-1091,osborndavid@example.org,2023-01-24,2023-01,Premium,Meta,False,active,,24,54.99,ZA
SUB-1092,amywalker@example.com,2023-01-17,2023-01,Classic,Organic,False,churned,2023-05-05,3,34.99,NG
SUB-1093,lunaanthony@example.com,2023-01-15,2023-01,Starter,Organic,True,churned,2023-04-01,2,19.99,KE
SUB-1094,pinedagail@example.net,2023-01-18,2023-01,Classic,Google,False,churned,2023-07-30,6,34.99,KE
SUB-1095,tylerjohnston@example.com,2023-01-16,2023-01,Premium,Referral,True,churned,2024-10-17,21,54.99,ZA
SUB-1096,vincent07@example.com,2023-01-08,2023-01,Classic,Meta,False,churned,2023-10-15,9,34.99,KE
SUB-1097,dorothymartin@example.org,2023-01-08,2023-01,Classic,Organic,False,churned,2023-05-25,4,34.99,GH
SUB-1098,heidi97@example.net,2023-01-25,2023-01,Classic,Google,False,churned,2023-08-13,6,34.99,NG
SUB-1099,zunigakayla@example.org,2023-01-12,2023-01,Classic,Google,False,active,,24,34.99,ZA
SUB-1100,bwilcox@example.org,2023-01-07,2023-01,Classic,Organic,False,active,,24,34.99,ZA
SUB-1101,matthewhernandez@example.net,2023-01-07,2023-01,Premium,Meta,False,active,,24,54.99,NG
SUB-1102,hvazquez@example.com,2023-01-02,2023-01,Classic,Meta,False,churned,2023-03-03,2,34.99,KE
SUB-1103,afrancis@example.com,2023-01-17,2023-01,Classic,Meta,False,churned,2023-02-07,0,34.99,NG
SUB-1104,lpatterson@example.net,2023-01-18,2023-01,Classic,Meta,False,churned,2023-02-11,0,34.99,KE
SUB-1105,zbennett@example.org,2023-01-26,2023-01,Premium,Organic,False,churned,2024-08-08,18,54.99,KE
SUB-1106,higginssandra@example.net,2023-01-16,2023-01,Starter,Meta,False,churned,2024-07-23,18,19.99,ZA
SUB-1107,ptodd@example.com,2023-01-06,2023-01,Classic,Meta,False,active,,24,34.99,NG
SUB-1108,nicholsonwilliam@example.com,2023-01-10,2023-01,Classic,Organic,False,churned,2023-09-20,8,34.99,KE
SUB-1109,lalvarez@example.net,2023-01-18,2023-01,Starter,Google,False,churned,2023-03-02,1,19.99,ZA
SUB-1110,richardsonangela@example.org,2023-01-14,2023-01,Premium,Meta,False,active,,24,54.99,KE
SUB-1111,zharvey@example.com,2023-01-28,2023-01,Classic,Organic,False,churned,2024-11-21,21,34.99,KE
SUB-1112,scott97@example.com,2023-01-27,2023-01,Starter,Organic,False,churned,2024-05-09,15,19.99,NG
SUB-1113,cathy17@example.net,2023-01-08,2023-01,Premium,Meta,False,churned,2023-03-29,2,54.99,ZA
SUB-1114,meganperez@example.net,2023-01-01,2023-01,Premium,Google,True,active,,24,54.99,KE
SUB-1115,yrobertson@example.org,2023-01-11,2023-01,Classic,Meta,False,churned,2024-03-02,13,34.99,KE
SUB-1116,martinezmary@example.org,2023-01-09,2023-01,Starter,Meta,False,churned,2023-02-13,1,19.99,KE
SUB-1117,nburke@example.com,2023-01-22,2023-01,Starter,Meta,False,churned,2024-01-27,12,19.99,KE
SUB-1118,zyoung@example.net,2023-01-13,2023-01,Classic,Meta,False,churned,2024-01-25,12,34.99,KE
SUB-1119,ujohnson@example.org,2023-01-21,2023-01,Classic,,False,churned,2023-07-16,5,34.99,KE
SUB-1120,vbradley@example.org,2023-01-19,2023-01,Starter,Organic,False,churned,2023-10-13,8,19.99,KE
SUB-1121,larry49@example.com,2023-01-08,2023-01,Classic,Google,False,churned,2024-06-20,17,34.99,KE
SUB-1122,lindaprice@example.org,2023-01-19,2023-01,Premium,Meta,False,active,,24,54.99,UG
SUB-1123,michael34@example.com,2023-01-11,2023-01,Classic,Referral,False,churned,2024-10-02,20,34.99,KE
SUB-1124,,2023-01-01,2023-01,Premium,Google,False,active,,24,54.99,KE
SUB-1125,nicholaspayne@example.org,2023-01-16,2023-01,Premium,Organic,True,churned,2024-02-06,12,54.99,KE
SUB-1126,chandlerjeremiah@example.com,2023-01-20,2023-01,Classic,Referral,False,churned,2025-01-15,23,34.99,KE
SUB-1127,robertwilkins@example.org,2023-01-17,2023-01,Classic,Google,False,churned,2023-01-29,0,34.99,GH
SUB-1128,parkermatthew@example.org,2023-01-22,2023-01,Classic,Meta,False,churned,2023-05-29,4,34.99,ZA
SUB-1129,jonesalexa@example.net,2023-01-17,2023-01,Classic,Google,False,churned,2025-01-08,23,34.99,KE
SUB-1130,rlarson@example.net,2023-01-06,2023-01,Classic,Organic,False,churned,2024-08-03,18,34.99,KE
SUB-1131,samueljones@example.com,2023-02-04,2023-02,Premium,Organic,False,churned,2023-04-01,1,54.99,KE
SUB-1132,richardhowe@example.net,2023-02-28,2023-02,Premium,Meta,True,active,,23,54.99,ZA
SUB-1133,hilltimothy@example.com,2023-02-16,2023-02,Starter,Meta,False,churned,2023-09-03,6,19.99,GH
SUB-1134,kimberlyhicks@example.org,2023-02-22,2023-02,Premium,Meta,False,churned,2023-11-30,9,54.99,ZA
SUB-1135,brennanrobert@example.net,2023-02-03,2023-02,Classic,Referral,False,churned,2023-06-25,4,34.99,KE
SUB-1136,andrew32@example.org,2023-02-23,2023-02,Classic,Organic,False,active,,23,34.99,UG
SUB-1137,garciawillie@example.org,2023-02-10,2023-02,Classic,Meta,False,churned,2023-03-23,1,34.99,NG
SUB-1138,cooksharon@example.org,2023-02-26,2023-02,Starter,Meta,False,churned,2023-03-25,0,19.99,KE
SUB-1139,alamb@example.net,2023-02-21,2023-02,Classic,Organic,True,churned,2024-03-11,12,34.99,NG
SUB-1140,uchambers@example.net,2023-02-12,2023-02,Classic,Google,False,churned,2023-06-01,3,34.99,NG
SUB-1141,nsnyder@example.com,2023-02-03,2023-02,Premium,Google,False,active,,23,54.99,UG
SUB-1142,fwilliams@example.net,2023-02-09,2023-02,Starter,Google,False,active,,23,19.99,KE
SUB-1143,masonsteven@example.net,2023-02-01,2023-02,Starter,Google,False,churned,2023-02-21,0,19.99,ZA
SUB-1144,chase30@example.com,2023-02-11,2023-02,Premium,Organic,True,active,,23,54.99,KE
SUB-1145,macdonaldthomas@example.org,2023-02-06,2023-02,Classic,Meta,False,churned,2023-07-26,5,34.99,NG
SUB-1146,hwilson@example.net,2023-02-16,2023-02,Classic,Meta,False,churned,2024-05-29,15,34.99,KE
SUB-1147,williamrodriguez@example.net,2023-02-12,2023-02,Classic,Referral,False,churned,2024-12-03,21,34.99,KE
SUB-1148,michaelhoward@example.net,2023-02-07,2023-02,Starter,Meta,False,churned,2023-11-08,9,19.99,NG
SUB-1149,rollinssherry@example.net,2023-02-01,2023-02,Classic,Meta,False,churned,2024-03-16,13,34.99,KE
SUB-1150,breannagregory@example.net,2023-02-22,2023-02,Starter,Organic,True,churned,2023-08-04,5,19.99,NG
SUB-1151,alison17@example.com,2023-02-08,2023-02,Premium,Google,False,active,,23,54.99,KE
SUB-1152,kayla87@example.com,2023-02-09,2023-02,Classic,Meta,False,churned,2023-04-01,1,34.99,KE
SUB-1153,ruth38@example.com,2023-02-19,2023-02,Classic,Meta,False,churned,2024-11-04,20,34.99,KE
SUB-1154,stephensjenna@example.net,2023-02-09,2023-02,Premium,Meta,False,active,,23,54.99,KE
SUB-1155,sethsmith@example.net,2023-02-02,2023-02,Premium,Meta,False,churned,2023-10-14,8,54.99,UG
SUB-1156,dbaker@example.org,2023-02-12,2023-02,Classic,Google,False,churned,2024-04-06,13,34.99,NG
SUB-1157,michaelrodriguez@example.org,2023-02-26,2023-02,Starter,Meta,True,churned,2025-01-04,22,19.99,KE
SUB-1158,saramiller@example.net,2023-02-10,2023-02,Classic,Referral,False,churned,2023-05-08,2,34.99,NG
SUB-1159,prodriguez@example.org,2023-02-21,2023-02,Classic,Organic,False,active,,23,34.99,GH
SUB-1160,lorrainefranco@example.com,2023-02-08,2023-02,Classic,Meta,False,churned,2024-07-06,16,34.99,KE
SUB-1161,deniseholt@example.org,2023-02-15,2023-02,Premium,Referral,False,churned,2024-10-03,19,54.99,KE
SUB-1162,sotoryan@example.com,2023-02-07,2023-02,Classic,Organic,True,churned,2023-03-03,0,34.99,KE
SUB-1163,catherine48@example.net,2023-02-19,2023-02,Starter,Google,False,churned,2023-02-21,0,19.99,ZA
